player_name,position,mlb_team,draft_round,adp,is_undrafted_fa,years_kept,notes
Agustín Ramírez,"C, 1B, Util",MIA,12,450.0,true,0,
Kyle Manzardo,"1B, Util",CLE,12,266.0,true,0,
Mookie Betts,"2B, SS, OF, Util",LAD,1,45.0,false,0,
Matt Chapman,"3B, Util",SF,7,152.8,false,0,
Gunnar Henderson,"SS, Util",BAL,2,17.2,false,0,
Randy Arozarena,"OF, Util",SEA,8,78.6,false,0,
Jo Adell,"OF, Util",LAA,12,129.4,true,0,
Dylan Crews,"OF, Util",WSH,12,202.4,false,0,
Jakob Marsee,"OF, Util",MIA,12,134.6,true,0,
Zach Neto,"SS, Util",LAA,12,36.0,false,0,
Taylor Ward,"OF, Util",BAL,9,127.4,false,0,
Daulton Varsho,"OF, Util",TOR,12,212.2,true,0,
Royce Lewis,"3B, Util",MIN,12,223.6,false,0,
Max Muncy,"3B, Util",LAD,12,216.0,false,0,
Nathaniel Lowe,"1B, Util",BOS,12,456.0,false,0,
Hurston Waldrep,"SP, P",ATL,12,274.8,true,0,
Kyle Bradish,"SP, P",BAL,12,85.0,true,0,
Will Vest,"RP, P",DET,12,284.2,true,0,
Mason Miller,"RP, P",SD,12,55.8,false,0,
JoJo Romero,"RP, P",STL,12,449.0,true,0,
Garrett Crochet,"SP, P",BOS,10,11.0,false,0,
Jacob deGrom,"SP, P",TEX,11,48.4,false,0,
Kyle Hendricks,"SP, RP, P",LAA,12,450.0,true,0,
Nolan Schanuel,"1B, Util",LAA,12,303.0,true,0,
